year,class,question_set,description,test_number,function,func_arg_list,in_list,exp_out_list,return_values
2023,8,1,"title",1,ex1,"[]","[10,20]","['hello 10', 'hello 20']","[None]"
2023,8,1,"title",2,ex1,"[12]","[10,12]","['hello 10', 'hello 20']","[None]"
2023,8,1,"title",1,ex2,"[3]","[10,20,30]","['60']","[None]"
2023,8,1,"title",1,ex3,"[40]","[]","[1040, 10]","[1040, 10]"
2023,8,1,"title",1,ex4,"[3]","['hello']","['hellohellohello']","[None]"
2023,8,1,"title",1,ex4,"[4]","['tomer']","['tomertomertomer']","[None]"
2023,8,2,"ex02",1,ex2,"[]","[]","['9 -1 20 0.8\n']","[None]"
2023,8,2,"ex03",1,ex3,"[]","[]","['red\n' 'green\n' 'blue\n']","[None]"
2023,8,4,"is_positive_number",1,ex4,"[]","[25]","['true\n']","[None]"
2023,8,4,"is_positive_number",1,ex4,"[]","[-3]","['false\n']","[None]"
2023,8,4,"is_above_64",1,ex5,"[]","[15,15]","['false\n']","[None]"
2023,8,4,"is_above_64",1,ex5,"[]","[35,35]","['true\n']","[None]"
2023,8,4,"is_above_64",1,ex5,"[]","[32,32]","['false\n']","[None]"
2023,8,4,"twoitems",1,ex6,"[]","[70,20]","['true\n']","[None]"
2023,8,4,"twoitems",2,ex6,"[]","[120,20]","['false\n']","[None]"
2023,8,4,"twoitems",3,ex6,"[]","[70,45]","['false\n']","[None]"
2023,8,4,"david",1,ex7,"[]","[140]","['מחיר מצוין\n','תודה שהשתמשתם בתוכנית הבדיקה של אהוד ודוד\n']","[None]"
2023,8,4,"david",1,ex7,"[]","[200]","['מחיר סביר\n','תודה שהשתמשתם בתוכנית הבדיקה של אהוד ודוד\n']","[None]"
2023,8,4,"david",1,ex7,"[]","[300]","['יקר אך איכותי\n','תודה שהשתמשתם בתוכנית הבדיקה של אהוד ודוד\n']","[None]"
2023,8,4,"noar",1,ex8,"[]","[40]","['אתם מדריכים מעולים\n','תנועת נוער למימוש החזון של יצירת חברה לומדת ועושה\n']","[None]"
2023,8,4,"noar",1,ex8,"[]","[22]","['מספר החניכים הכי גדול בסניף\n','תנועת נוער למימוש החזון של יצירת חברה לומדת ועושה\n']","[None]"
2023,8,4,"noar",1,ex8,"[]","[10]","['מספר סביר של חניכים\n','תנועת נוער למימוש החזון של יצירת חברה לומדת ועושה\n']","[None]"
2023,8,4,"noar",1,ex8,"[]","[6]","['יש לגייס דחוף חניכים לשבט\n','תנועת נוער למימוש החזון של יצירת חברה לומדת ועושה\n']","[None]"
2023,8,4,"colors",1,ex9,"[]","['yellow']","['צהוב\n','צבעים מזינים את נפש האדם ומעניקים לו תמיד שמחה ותקווה\n']","[None]"
2023,8,4,"colors",1,ex9,"[]","['blue']","['כחול\n','צבעים מזינים את נפש האדם ומעניקים לו תמיד שמחה ותקווה\n']","[None]"
2023,8,5,"showticket",1,ex1,"[]","[10]","['480\n']","[None]"
2023,8,5,"showticket",2,ex1,"[]","[110]","['4730\n']","[None]"
2023,8,5,"roads",1,ex2,"[]","['tomer',5]","['tomer 150\n']","[None]"
2023,8,5,"roads",2,ex2,"[]","['tomer',10]","['tomer 290\n']","[None]"
2023,8,5,"late",1,ex3,"[]","['tomer',3]","['tomer 3\n','EXCELLENT\n']","[None]"
2023,8,5,"late",1,ex3,"[]","['marta',6]","['marta 6\n','WARNING\n']","[None]"
2023,8,5,"gift",1,ex4,"[]","['bart',6]","['bart 600\n','GIFT\n']","[None]"
2023,8,5,"car",1,ex5,"[]","['bmw',5]","['bmw HEAVY\n']","[None]"
2023,8,5,"car",1,ex5,"[]","['honda',2]","['honda TWO\n']","[None]"
2023,8,5,"car",1,ex5,"[]","['sosita',3]","['Have a good day\n']","[None]"
2023,8,5,"car",1,ex6,"[]","[30,120]","['3600\n']","[None]"
2023,8,5,"car",1,ex6,"[]","[52,120]","['6000\n']","[None]"
2023,8,5,"bus",1,ex7,"[]","[15,10]","['YOUTH\n','400\n']","[None]"
2023,8,5,"bus",1,ex7,"[]","[20,10]","['ADULT\n','600\n']","[None]"
2023,8,5,"bus",1,ex8,"[]","[30,40]","['40\n','10\n']","[None]"
2023,8,5,"bus",1,ex8,"[]","[50,33]","['50\n','17\n']","[None]"
2023,8,11,"wordnextletter",1,ex3,"[]","['abcd']","['97 ', '98 ', '99 ', '100 ']","[None]"
2023,8,11,"wordnextletter",1,ex4,"[]","['abcd']","['bcde\n']","[None]"
2023,8,11,"wordnextletter",2,ex4,"[]","['zoo']","['app\n']","[None]"
2023,8,11,"wordnextletter",2,ex5,"[]","['hello','l']","['num=2\n']","[None]"
2023,8,11,"cohencount",1,ex6,"[]","[5,'tomer tubi','tal cohen','timor levi','yali cohen','adi']","['2\n']","[None]"
2023,8,11,"cohencount",1,ex6,"[]","[2,'tomer tubi','timor levi']","['0\n']","[None]"
2023,8,11,"first_last",1,ex7,"[]","['Cats and dogs are great friends']","['C*s\n']","[None]"
2023,8,11,"first_last",1,ex7,"[]","['Dogs and cats']","['D*s\n']","[None]"
2023,8,11,"middel",1,ex8,"[]","['abcde']","['c\n']","[None]"
2023,8,11,"middel",1,ex8,"[]","['abcd']","['bc\n']","[None]"
2023,8,11,"threestart_end",1,ex9,"[]","['tomer tubi']","['tomubi\n']","[None]"
2023,8,11,"threestart_end",1,ex9,"[]","['to']","['***\n']","[None]"
2023,8,11,"hundred_units_equal",1,ex10,"[]","[234]","['not equal\n']","[None]"
2023,8,11,"hundred_units_equal",1,ex10,"[]","[838]","['equal\n']","[None]"
2023,8,11,"rashai_tevot",1,ex11,"[]","['American Standard Code Information Interchange']","['ASCII\n']","[None]"
2023,8,11,"rashai_tevot",1,ex11,"[]","['Home Work']","['HW\n']","[None]"
2023,8,11,"count_is",1,ex12,"[]","['this is a distance']","['3\n']","[None]"
2023,8,11,"count_is",1,ex12,"[]","['I dont know']","['0\n']","[None]"
2023,8,11,"nikod_letter",1,ex13,"[]","['how many letters']","['a=1\n', 'e=2\n', 'i=0\n', 'o=1\n', 'u=0\n']","[None]"
2023,8,11,"nikod_letter",1,ex13,"[]","['You know the only one']","['a=0\n', 'e=2\n', 'i=0\n', 'o=4\n', 'u=1\n']","[None]"
2023,8,11,"first_last_word",1,ex14,"[]","['Dogs are great friends']","['Dogs friends\n']","[None]"
2023,8,11,"first_last_word",1,ex14,"[]","['Cats are great friends']","['Cats friends\n']","[None]"
2023,8,11,"upper_lower",1,ex15,"[]","['trustyourself']","['TrUsTyOuRsElF\n']","[None]"
2023,8,11,"upper_lower",1,ex15,"[]","['tomer']","['ToMeR\n']","[None]"
2023,8,11,"twoletterstart_end",1,ex16,"[]","['spring']","['spng\n']","[None]"
2023,8,11,"twoletterstart_end",1,ex16,"[]","['a']","['\n']","[None]"
2023,8,11,"twoletterstart_end",1,ex16,"[]","['instruction']","['inon\n']","[None]"
2023,8,11,"replace_except_first",1,ex17,"[]","['babble']","['ba**le\n']","[None]"
2023,8,11,"replace_except_first",1,ex17,"[]","['always']","['alw*ys\n']","[None]"
2023,8,11,"replace",1,ex18,"[]","['mix','pod']","['mid\n','pox\n']","[None]"
2023,8,11,"replace",1,ex18,"[]","['dog','dinner']","['donner\n','dig\n']","[None]"
2023,8,12,"simplecalculator",1,ex3a,"[12,12,'+']","[]","['24\n']","[None]"
2023,8,12,"simplecalculator",1,ex3a,"[12,12,'*']","[]","['144\n']","[None]"
2023,8,12,"simplecalculator",1,ex3,"[]","[5,6,'*']","['30\n']","[None]"
2023,8,12,"simplecalculator",1,ex3,"[]","[13,10,'%']","['3\n']","[None]"
2023,8,12,"grade_avg",1,ex4a,"[90]","[]","['הצטיינות יתרה\n']","[None]"
2023,8,12,"grade_avg",1,ex4a,"[75]","[]","['טוב מאוד\n']","[None]"
2023,8,12,"grade_avg",1,ex4a,"[42]","[]","['יש לשפר השגים\n']","[None]"
2023,8,12,"grade_avg",1,ex4,"[]","[100]","['הצטיינות יתרה\n']","[None]"
2023,8,12,"animal_legs",1,how_many_legs,"['dog']","[]","[]","[4]"
2023,8,12,"animal_legs",1,how_many_legs,"['ant']","[]","[]","[6]"
2023,8,12,"animal_legs",1,how_many_legs,"['lion']","[]","[]","[-1]"
2023,8,12,"animal_legs",1,ex5,"[]","['cat']","[4\n]","[None]"
2023,8,12,"simplecalculator",1,ex6a,"[2,8]","[]","[]","[10,6,16,4]"
2023,8,12,"simplecalculator",1,ex6b,"[]","[2,8]","['10 6 16 4\n']","[None]"
